IDcyclist,gene_sz_lastname,gene_sz_firstname,gene_sz_firstlastname,fkIDteam,fkIDregion,fkIDcontract,fkIDprevcontract,fkIDnextcontract,gene_sz_photo,gene_i_birthdate,gene_f_popularity,gene_f_popularity_max,value_i_rank_voted,value_f_potentiel,value_f_current_ability,current_f_stage_score,fkIDrace,fkIDlaststage,fkIDcyclist_state,fkIDtype_rider,fkIDinjury,fkIDtga_skin,gene_i_size,gene_i_weight,prerace_i_cyclist,race_b_withdrawal,fkIDstaff_trainer,charac_i_plain,limit_i_plain,charac_i_mountain,limit_i_mountain,charac_i_medium_mountain,limit_i_medium_mountain,charac_i_downhilling,limit_i_downhilling,charac_i_cobble,limit_i_cobble,charac_i_timetrial,limit_i_timetrial,charac_i_prologue,limit_i_prologue,charac_i_sprint,limit_i_sprint,charac_i_acceleration,limit_i_acceleration,charac_i_endurance,limit_i_endurance,charac_i_resistance,limit_i_resistance,charac_i_recuperation,limit_i_recuperation,charac_i_hill,limit_i_hill,charac_i_baroudeur,limit_i_baroudeur,charac_bitfield_mental,charac_i_tour,charac_i_classic,fitness_i_handicap,gene_b_will_retire,fkIDtraining_camp,gene_i_dossard,gene_i_champion_bit,gene_b_nominated,CONSTANT,gene_sz_soundname,fkIDstate_roster,gene_b_inshortlist,gene_i_date_last_breakaway,gene_i_date_last_punchers,gene_ilist_fkIDfavorite_races,fkIDworkplan,bit_i_contrat_preference,value_f_capital,gene_i_ptmap,fkIDyear_progression,value_f_gain,value_i_trainingstyle,fkIDcontract_preference_preset,iContract_fidelity,iContract_refusal_cooldown,value_i_knowledge,fkIDcyclist_leader,value_i_yearneopro,gene_i_nb_total_victory,gene_i_nb_tdf,gene_i_nb_giro,gene_i_nb_vuelta,gene_i_nb_sanremo,gene_i_nb_flandres,gene_i_nb_roubaix,gene_i_nb_liege,gene_i_nb_lombardia
8208,Sivok,Tomas,Sivok T.,162,2701,0,0,0,,20040224,0.0,0.0,0,4.5,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,64,0,60,0,62,0,63,0,52,0,56,0,56,0,62,0,64,0,62,0,63,0,60,0,65,0,62,0,0,0,0,0,0,0,0,0,0,,Sivok_Tomas,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8209,Skerl,Daniel,Skerl D.,13,207,0,0,0,dskerl,20030321,0.0,0.0,0,4.0,0.0,0.0,0,0,3,0,0,15,177,78,0,0,0,69,0,54,0,57,0,66,0,64,0,57,0,58,0,74,0,74,0,64,0,65,0,64,0,62,0,59,0,0,0,0,0,0,0,0,0,0,,Skerl_Daniel,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8210,Stockwell,Oliver,Stockwell O.,13,1801,0,0,0,ostockwell,20020607,0.0,0.0,0,4.5,0.0,0.0,0,0,3,0,0,0,182,0,0,0,0,64,0,67,0,67,0,69,0,61,0,66,0,68,0,61,0,65,0,63,0,62,0,65,0,66,0,70,0,0,0,0,0,0,0,0,0,0,,Stockwell_Oliver,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8213,Fede,Gabriel,Fede G.,119,206,0,0,0,,20030411,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,62,0,60,0,63,0,69,0,61,0,58,0,58,0,59,0,61,0,60,0,62,0,60,0,65,0,72,0,0,0,0,0,0,0,0,0,0,,Fede_Gabriel,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8214,Kos,Robin,Kos R.,119,311,0,0,0,,20040301,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,58,0,54,0,55,0,59,0,57,0,53,0,54,0,55,0,55,0,59,0,58,0,55,0,57,0,59,0,0,0,0,0,0,0,0,0,0,,Kos_Robin,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8215,Loulergue,Victor,Loulergue V.,206,312,0,0,0,,20041027,0.0,0.0,0,4.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,67,0,57,0,64,0,68,0,63,0,61,0,61,0,67,0,69,0,61,0,63,0,62,0,68,0,64,0,0,0,0,0,0,0,0,0,0,,Loulergue_Victor,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8216,Maclean,Logan,Maclean L.,119,1801,0,0,0,,20010302,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,59,0,56,0,58,0,60,0,58,0,60,0,60,0,58,0,61,0,59,0,60,0,57,0,60,0,63,0,0,0,0,0,0,0,0,0,0,,Maclean_Logan,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8217,Neele,Maurits,Neele M.,119,512,0,0,0,,20040911,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,62,0,55,0,58,0,62,0,59,0,61,0,61,0,60,0,60,0,61,0,62,0,58,0,61,0,63,0,0,0,0,0,0,0,0,0,0,,Neele_Maurits,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8218,Soranzo,Mael,Soranzo M.,119,322,0,0,0,,20041111,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,61,0,56,0,59,0,63,0,56,0,55,0,57,0,62,0,63,0,61,0,60,0,59,0,62,0,64,0,0,0,0,0,0,0,0,0,0,,Soranzo_Mael,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8219,Yarrell,Guy,Yarrell G.,119,3401,0,0,0,,20020130,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,64,0,61,0,63,0,61,0,54,0,61,0,62,0,62,0,64,0,57,0,58,0,56,0,64,0,65,0,0,0,0,0,0,0,0,0,0,,Yarrell_Guy,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8220,Bastiaens,Ayco,Bastiaens A.,10,402,0,0,0,abastiaens,19960603,0.0,0.0,0,3.5,0.0,0.0,0,0,3,0,0,0,190,75,0,0,0,69,0,53,0,57,0,65,0,69,0,64,0,62,0,67,0,69,0,64,0,62,0,61,0,63,0,68,0,0,0,0,0,0,0,0,0,0,,Bastiaens_Ayco,0,0,0,0,(77),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
8221,Belmans,Lennert,Belmans L.,37,402,0,0,0,lbelmans,20020215,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,189,72,0,0,0,69,0,63,0,66,0,72,0,67,0,62,0,63,0,60,0,60,0,64,0,64,0,64,0,66,0,58,0,0,0,0,0,0,0,0,0,0,,Belmans_Lennert,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8222,Dehairs,Simon,Dehairs S.,37,402,0,0,0,sdehairs,20010604,0.0,0.0,0,4.0,0.0,0.0,0,0,3,0,0,0,192,82,0,0,0,73,0,53,0,55,0,70,0,70,0,58,0,61,0,74,0,74,0,67,0,69,0,64,0,63,0,68,0,0,1,4,0,0,0,0,0,0,,Dehairs_Simon,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8223,Dockx,Aaron,Dockx A.,37,402,0,0,0,adockx,20040628,0.0,0.0,0,4.5,0.0,0.0,0,0,3,0,0,0,173,56,0,0,0,67,0,68,0,70,0,74,0,66,0,62,0,64,0,61,0,65,0,66,0,64,0,65,0,70,0,67,0,0,0,0,0,0,0,0,0,0,,Dockx_Aaron,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8225,Kielich,Timo,Kielich T.,14,402,0,0,0,tkielich,19990805,0.0,0.0,0,4.5,0.0,0.0,0,0,3,0,0,0,185,73,0,0,0,78,0,60,0,65,0,76,0,74,0,65,0,70,0,73,0,72,0,69,0,71,0,68,0,72,0,74,0,0,2,3,0,0,0,0,0,0,,Kielich_Timo,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3,0,2,0,0,1,1,0,0
8226,Meeussen,Witse,Meeussen W.,237,402,0,0,0,wmeeussen,20010308,0.0,0.0,0,3.5,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,67,0,64,0,68,0,73,0,68,0,61,0,66,0,61,0,66,0,64,0,65,0,63,0,69,0,66,0,0,0,0,0,0,0,0,0,0,,Meeussen_Witse,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8227,Michels,Jente,Michels J.,237,402,0,0,0,jmichels,20030217,0.0,0.0,0,3.5,0.0,0.0,0,0,3,0,0,0,179,59,0,0,0,66,0,64,0,67,0,74,0,66,0,57,0,59,0,61,0,63,0,61,0,62,0,62,0,69,0,65,0,0,0,0,0,0,0,0,0,0,,Michels_Jente,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8228,Roesems,Siebe,Roesems S.,237,402,0,0,0,sroesems,20010608,0.0,0.0,0,3.5,0.0,0.0,0,0,3,0,0,0,183,70,0,0,0,67,0,55,0,57,0,66,0,66,0,62,0,62,0,56,0,56,0,61,0,61,0,60,0,62,0,56,0,0,0,0,0,0,0,0,0,0,,Roesems_Siebe,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8229,Sweeck,Laurens,Sweeck L.,237,402,0,0,0,lsweeck,19931217,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,179,71,0,0,0,70,0,61,0,64,0,75,0,69,0,66,0,68,0,64,0,63,0,64,0,64,0,62,0,68,0,62,0,0,0,0,0,0,0,0,0,0,,Sweeck_Laurens,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8230,Vandebosch,Toon,Vandebosch T.,119,402,0,0,0,,19990619,0.0,0.0,0,3.5,0.0,0.0,0,0,3,0,0,0,178,68,0,0,0,69,0,63,0,67,0,71,0,68,0,64,0,67,0,63,0,65,0,67,0,67,0,67,0,69,0,64,0,0,0,0,0,0,0,0,0,0,,Vandebosch_Toon,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8231,Vandeputte,Niels,Vandeputte N.,237,402,0,0,0,nvandeputte,20000919,0.0,0.0,0,3.5,0.0,0.0,0,0,3,0,0,0,184,73,0,0,0,70,0,56,0,60,0,75,0,69,0,60,0,65,0,66,0,66,0,63,0,65,0,63,0,68,0,62,0,0,0,0,0,0,0,0,0,0,,Vandeputte_Niels,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8232,Vergallito,Luca,Vergallito L.,37,204,0,0,0,lvergallito,19970914,0.0,0.0,0,4.5,0.0,0.0,0,0,3,0,0,0,190,68,0,0,0,68,0,71,0,73,0,70,0,63,0,65,0,67,0,58,0,63,0,68,0,66,0,66,0,72,0,71,0,0,4,2,0,0,0,0,0,0,,Vergallito_Luca,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2
8233,Verstrynge,Emiel,Verstrynge E.,37,402,0,0,0,everstrynge,20020204,0.0,0.0,0,5.0,0.0,0.0,0,0,3,0,0,0,189,69,0,0,0,71,0,71,0,76,0,77,0,69,0,63,0,66,0,67,0,73,0,72,0,75,0,70,0,77,0,73,0,0,3,4,0,0,0,0,0,0,,Verstrynge_Emiel,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
8234,Wyseure,Joran,Wyseure J.,237,402,0,0,0,jwyseure,20010109,0.0,0.0,0,3.5,0.0,0.0,0,0,3,0,0,0,182,70,0,0,0,67,0,58,0,62,0,70,0,62,0,59,0,63,0,59,0,61,0,60,0,61,0,58,0,65,0,74,0,0,0,0,0,0,0,0,0,0,,Wyseure_Joran,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8235,Fjellheim,Henrik,Fjellheim H.,119,3501,0,0,0,,20010101,0.0,0.0,0,3.5,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,63,0,67,0,67,0,68,0,58,0,60,0,59,0,55,0,53,0,62,0,62,0,65,0,66,0,61,0,0,0,0,0,0,0,0,0,0,,Fjellheim_Henrik,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8236,Hashikawa,Jo,Hashikawa J.,119,2101,0,0,0,,20030206,0.0,0.0,0,2.5,0.0,0.0,0,0,3,0,0,0,177,57,0,0,0,61,0,59,0,60,0,66,0,61,0,58,0,58,0,60,0,58,0,57,0,57,0,60,0,63,0,70,0,0,0,0,0,0,0,0,0,0,,Hashikawa_Jo,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8237,Hatherly,Alan,Hatherly A.,20,3601,0,0,0,ahatherly,19960315,0.0,0.0,0,4.0,0.0,0.0,0,0,3,0,0,0,178,62,0,0,0,67,0,66,0,72,0,76,0,65,0,70,0,70,0,62,0,72,0,67,0,69,0,65,0,75,0,72,0,0,0,0,0,0,0,0,64,0,,Hatherly_Alan,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8239,Lange,Tyler,Lange T.,119,3601,0,0,0,,20031219,0.0,0.0,0,1.5,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,58,0,56,0,58,0,66,0,59,0,54,0,55,0,52,0,60,0,53,0,53,0,55,0,60,0,58,0,0,0,0,0,0,0,0,0,0,,Lange_Tyler,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8240,Rogora,Kiya,Rogora K.,119,7401,0,0,0,,20030603,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,63,0,58,0,61,0,60,0,57,0,65,0,64,0,53,0,55,0,57,0,58,0,60,0,63,0,71,0,0,0,0,0,0,0,0,0,0,,Rogora_Kiya,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
8241,Boulahoite,Rayan,Boulahoite R.,25,310,0,0,0,rboulahoite,20040224,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,183,75,0,0,0,72,0,57,0,64,0,70,0,70,0,62,0,63,0,65,0,66,0,67,0,68,0,60,0,69,0,71,0,0,0,0,0,0,0,0,0,0,,Boulahoite_Rayan,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
8242,Huby,Antoine,Huby A.,119,305,0,0,0,,20010119,0.0,0.0,0,4.5,0.0,0.0,0,0,3,0,0,0,174,56,0,0,0,68,0,68,0,70,0,77,0,63,0,62,0,69,0,68,0,70,0,64,0,66,0,64,0,71,0,71,0,0,0,0,0,0,0,0,0,0,,Huby_Antoine,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8243,Abaya,Dominik,Abaya D.,119,701,0,0,0,,20021014,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,60,0,54,0,57,0,60,0,52,0,52,0,54,0,54,0,57,0,55,0,56,0,55,0,58,0,58,0,0,0,0,0,0,0,0,0,0,,Abaya_Dominik,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8244,Gabelica,Laurin,Gabelica L.,119,701,0,0,0,,20040217,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,62,0,58,0,60,0,63,0,55,0,59,0,61,0,60,0,62,0,57,0,59,0,56,0,62,0,60,0,0,0,0,0,0,0,0,0,0,,Gabelica_Laurin,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8245,Maciejuk,Kacper,Maciejuk K.,162,3001,0,0,0,,20030518,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,68,0,62,0,63,0,64,0,63,0,62,0,63,0,59,0,62,0,63,0,63,0,65,0,65,0,70,0,0,0,0,0,0,0,0,0,0,,Maciejuk_Kacper,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8246,Messerschmidt,Jonas,Messerschmidt J.,119,710,0,0,0,,20010210,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,188,68,0,0,0,64,0,64,0,65,0,65,0,58,0,55,0,55,0,60,0,60,0,62,0,62,0,60,0,65,0,64,0,0,0,0,0,0,0,0,0,0,,Messerschmidt_Jonas,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8247,Piter,Michael,Piter M.,113,701,0,0,0,,20011115,0.0,0.0,0,2.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,60,0,53,0,55,0,60,0,59,0,53,0,54,0,54,0,56,0,59,0,58,0,54,0,57,0,57,0,0,0,0,0,0,0,0,0,0,,Peter_Michael,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8248,Proc,Bartlomiej,Proc B.,119,3001,0,0,0,,19991212,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,69,0,58,0,63,0,69,0,68,0,62,0,65,0,69,0,69,0,63,0,65,0,63,0,65,0,65,0,0,0,0,0,0,0,0,0,0,,Proc_Bartlomiej,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8249,Puschmann,Nils,Puschmann N.,119,701,0,0,0,,20041005,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,60,0,57,0,60,0,63,0,56,0,57,0,59,0,56,0,58,0,56,0,58,0,55,0,58,0,57,0,0,0,0,0,0,0,0,0,0,,Puschmann_Nils,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8251,Domingues,Duarte,Domingues D.,119,2901,0,0,0,,20040229,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,64,0,65,0,65,0,66,0,55,0,60,0,60,0,60,0,63,0,60,0,61,0,61,0,64,0,74,0,0,0,0,0,0,0,0,0,0,,Domingues_Duarte,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8253,Bocho,Jose,Bocho J.,38,2901,0,0,0,,20040104,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,60,0,62,0,63,0,64,0,57,0,59,0,60,0,59,0,63,0,59,0,59,0,60,0,65,0,70,0,0,0,0,0,0,0,0,0,0,,Bicho_Jose,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8255,Masuda,Nariyuki,Masuda N.,119,2101,0,0,0,nmasuda,19831023,0.0,0.0,0,3.5,0.0,0.0,0,0,3,0,0,0,176,61,0,0,0,62,0,70,0,70,0,68,0,57,0,59,0,60,0,63,0,65,0,65,0,64,0,65,0,69,0,62,0,0,0,0,0,0,0,0,0,0,,Masuda_Nariyuki,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
8257,Yamamoto,Masaki,Yamamoto M.,119,2101,0,0,0,,19960108,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,171,68,0,0,0,64,0,64,0,67,0,66,0,58,0,62,0,62,0,65,0,65,0,61,0,62,0,63,0,69,0,64,0,0,0,0,0,0,0,0,2,0,,Yamamoto_Masaki,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8258,Märkl,Max,Märkl M.,119,702,0,0,0,,20040304,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,62,0,55,0,57,0,65,0,58,0,63,0,65,0,59,0,62,0,57,0,57,0,58,0,59,0,65,0,0,0,0,0,0,0,0,0,0,,Markl_Max,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8259,Martin,Luca,Martin L.,119,702,0,0,0,,20041011,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,65,0,64,0,65,0,64,0,59,0,55,0,55,0,62,0,63,0,64,0,62,0,65,0,65,0,60,0,0,0,0,0,0,0,0,0,0,,Martin_Luca,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8260,Müller,Tobias,Müller T.,107,702,0,0,0,tmuller,20040331,0.0,0.0,0,3.5,0.0,0.0,0,0,3,0,0,0,174,64,0,0,0,71,0,60,0,64,0,68,0,69,0,64,0,66,0,70,0,71,0,66,0,67,0,65,0,69,0,65,0,0,2,4,0,0,0,0,0,0,,Muller_Tobias,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8261,Reissmann,Johannes,Reissmann J.,119,702,0,0,0,,20040622,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,58,0,52,0,55,0,62,0,54,0,62,0,63,0,57,0,60,0,57,0,57,0,56,0,59,0,60,0,0,0,0,0,0,0,0,0,0,,Reissmann_Johannes,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8262,Rinklef,Jan,Rinklef J.,119,702,0,0,0,,20040317,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,64,0,60,0,63,0,62,0,58,0,53,0,54,0,59,0,63,0,59,0,60,0,60,0,65,0,59,0,0,0,0,0,0,0,0,0,0,,Rinklef_Jan,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8263,Schröder,Jasper,Schröder J.,119,702,0,0,0,,20041119,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,61,0,54,0,57,0,60,0,62,0,59,0,61,0,60,0,60,0,57,0,58,0,56,0,61,0,61,0,0,0,0,0,0,0,0,0,0,,Schroder_Jasper,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8264,Zierenner,Leo,Zierenner L.,119,702,0,0,0,,20020823,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,58,0,54,0,55,0,59,0,55,0,57,0,58,0,60,0,61,0,60,0,58,0,55,0,58,0,59,0,0,0,0,0,0,0,0,0,0,,Zierenner_Leo,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8265,Knudsen,Oliver,Knudsen O.,119,1002,0,0,0,,19990108,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,173,59,0,0,0,66,0,64,0,64,0,65,0,65,0,60,0,60,0,62,0,65,0,61,0,63,0,59,0,66,0,74,0,0,0,0,0,0,0,0,0,0,,Knudsen_Oliver,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8266,Morang,Mil,Morang M.,119,1901,0,0,0,,20040915,0.0,0.0,0,3.5,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,60,0,60,0,61,0,69,0,64,0,59,0,60,0,60,0,63,0,57,0,59,0,59,0,65,0,71,0,0,0,0,0,0,0,0,0,0,,Morang_Mil,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8267,Agustinacchio,Filippo,Agustinacchio F.,160,201,0,0,0,,20030426,0.0,0.0,0,4.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,70,0,65,0,68,0,75,0,67,0,62,0,64,0,63,0,66,0,64,0,65,0,63,0,69,0,70,0,0,0,0,0,0,0,0,0,0,,Agostinacchio_Filippo,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8268,Buancalani,Andrea,Buancalani A.,104,209,0,0,0,,20001024,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,65,0,56,0,58,0,64,0,55,0,59,0,66,0,67,0,67,0,63,0,62,0,59,0,62,0,60,0,0,0,0,0,0,0,0,0,0,,Biancalani_Andrea,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8269,Burani,Edoardo,Burani E.,119,201,0,0,0,,20040302,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,65,0,58,0,62,0,64,0,57,0,58,0,58,0,60,0,62,0,62,0,64,0,62,0,65,0,60,0,0,0,0,0,0,0,0,0,0,,Burani_Edoardo,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8273,Pesenti,Thomas,Pesenti T.,102,208,0,0,0,tpesenti,19991016,0.0,0.0,0,4.0,0.0,0.0,0,0,3,0,0,0,169,59,0,0,0,67,0,73,0,73,0,68,0,63,0,62,0,62,0,66,0,67,0,67,0,67,0,69,0,72,0,62,0,0,0,0,0,0,0,0,0,0,,Pesenti_Thomas,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8274,Pierantozzi,Lucio,Pierantozzi L.,119,210,0,0,0,,19981102,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,63,0,61,0,65,0,67,0,56,0,58,0,59,0,58,0,62,0,61,0,61,0,60,0,68,0,60,0,0,0,0,0,0,0,0,0,0,,Pierantozzi_Lucio,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8275,Piras,Andrea,Piras A.,93,204,0,0,0,apiras,20020205,0.0,0.0,0,3.5,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,63,0,65,0,67,0,67,0,62,0,59,0,61,0,61,0,64,0,65,0,65,0,62,0,67,0,70,0,0,0,0,0,0,0,0,0,0,,Piras_Andrea,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8277,Ressi,Nicola,Ressi N.,160,206,0,0,0,,20030115,0.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,65,0,60,0,60,0,67,0,60,0,54,0,55,0,66,0,67,0,61,0,63,0,63,0,63,0,60,0,0,0,0,0,0,0,0,0,0,,Rossi_Nicola,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
